Full Texts,ID,Name,Email,Phone,Address,Age,Gender,Category,Budget,Payment Method,Password,Created At
User Vaibhav Vig prefers shopping for Others with a budget of ₹5942.12.,1,Vaibhav Vig,bhagatnishith@gmail.com,3368626990,Gujarat,35,Female,Others,5942.12,Debit Card,83c2ddc3eea4babc97660e47fdf874e558873a426542ddcedd08bcaea9185011,2025-03-04 17:55:01
User Jayesh Edwin prefers shopping for Books with a budget of ₹25347.97.,2,Jayesh Edwin,iyengarpiya@sarna-lad.net,5903882659,Goa,25,Female,Books,25347.97,UPI,127f8b069db556728e94c71b1c689b69a1f86a197490b3a90d43a5e49b995c8d,2025-03-17 17:55:01
User Akarsh Kashyap prefers shopping for Clothing with a budget of ₹43786.48.,3,Akarsh Kashyap,kabir83@hotmail.com,8078573409,Delhi,38,Male,Clothing,43786.48,PayPal,0942da32dc267fca2dd894fc18ca498162a43eb93391bead8f313cacf82d1fc4,2025-03-25 17:55:01
User Neelofar Bir prefers shopping for Electronics with a budget of ₹8898.9.,4,Neelofar Bir,rohan63@karnik.com,+912097865,Delhi,18,Male,Electronics,8898.9,Credit Card,b78108c2383ed5f0eac41c153ebb2fb1be36db8751055d608c3b1051944e09ea,2025-03-22 17:55:01
User Rasha Kibe prefers shopping for Others with a budget of ₹39943.38.,5,Rasha Kibe,laganramaswamy@hotmail.com,+914939470,Delhi,47,Female,Others,39943.38,PayPal,b31d433a7cc172772dfa96cc641abe31d433135164105c0830e2b4ca15dc67dd,2025-03-16 17:55:01
User Bhavin Dhawan prefers shopping for Others with a budget of ₹7181.4.,6,Bhavin Dhawan,tejassarin@gmail.com,3319744449,Karnataka,21,Female,Others,7181.4,Cash on Delivery,546cc850b0320c9ce8c4884986b5b5ea2b5d07f320b014eafe7076356b801711,2025-03-17 17:55:01
User Indranil Bansal prefers shopping for Others with a budget of ₹33899.42.,7,Indranil Bansal,soodmyra@yahoo.com,0014375249,Haryana,57,Female,Others,33899.42,PayPal,e9b610b5dfbd864f5a915e3f040d15071672ffe233a20b5dbcd7d2576717cd08,2025-03-29 17:55:01
User Charvi Doctor prefers shopping for Beauty with a budget of ₹39295.54.,8,Charvi Doctor,oganesan@karnik-raju.com,1214908329,Gujarat,60,Female,Beauty,39295.54,UPI,4308a196288bdcaa4cc1410b414aa94b0753f1771bfc11fcdb7947c34022cf99,2025-03-10 17:55:01
User Trisha Bahri prefers shopping for Others with a budget of ₹48331.1.,9,Trisha Bahri,baiju77@hotmail.com,2212999690,Tamil Nadu,19,Male,Others,48331.1,Cash on Delivery,c44c7985c5603d909854b200d8b55319f3474370990f90ec55067625a37a0772,2025-03-10 17:55:01
User Vaibhav Chatterjee prefers shopping for Beauty with a budget of ₹28178.34.,10,Vaibhav Chatterjee,parinaaz28@jani.com,+915944470,Haryana,59,Male,Beauty,28178.34,PayPal,b0fee84cb5b65d65fe37b00dd698a2d0891099a93200507bcf645aead6588e31,2025-03-29 17:55:01
User Samaira Mangal prefers shopping for Home & Kitchen with a budget of ₹14525.39.,11,Samaira Mangal,darshitkonda@hotmail.com,0548686327,West Bengal,46,Male,Home & Kitchen,14525.39,UPI,653c2200369fd24ce9605f8992e380137c6f78654b1a6b7a4d0c66efd6c74d50,2025-03-19 17:55:01
User Drishya Lal prefers shopping for Beauty with a budget of ₹40324.75.,12,Drishya Lal,mandanitara@chander.com,+918120873,West Bengal,55,Male,Beauty,40324.75,PayPal,868adf1d7c9ca3b98d566c7e72e4747137d5e1ce2065bcdda65665b004cc873d,2025-03-16 17:55:01
User Parinaaz Dua prefers shopping for Others with a budget of ₹41767.2.,13,Parinaaz Dua,indrajitchanda@de-dugal.info,0957138217,Uttar Pradesh,44,Female,Others,41767.2,PayPal,8454bb8df5dd425c7f004a0c9ab3e9158dc8cee1c662fd74489ff2e8e1eb8d6f,2025-03-13 17:55:01
User Krish Sood prefers shopping for Electronics with a budget of ₹9836.31.,14,Krish Sood,obava@raja-bhatt.biz,1490261910,Maharashtra,24,Female,Electronics,9836.31,Debit Card,d892e31cc6488cbedd4ef7094c3d3ac0b8dc16b3b9dd03c8b4c24be4462337de,2025-03-08 17:55:01
User Fateh Tak prefers shopping for Beauty with a budget of ₹4072.15.,15,Fateh Tak,bahrirati@date-doctor.com,+911627211,Tamil Nadu,29,Male,Beauty,4072.15,Cash on Delivery,ea83a8b9feed233372960191e56d2d628c9fbe26ec1cb61659c7f49eb2cd8463,2025-03-04 17:55:01
User Alia Khare prefers shopping for Books with a budget of ₹10435.97.,16,Alia Khare,evasetty@hotmail.com,+919707852,Karnataka,29,Male,Books,10435.97,Cash on Delivery,c73aaededaf8972c234763505d7eb017d0730a164d22e29ff25bead38b027a95,2025-03-26 17:55:01
User Kabir Chaudhary prefers shopping for Electronics with a budget of ₹36315.62.,17,Kabir Chaudhary,virkelakshi@gmail.com,+919792530,Goa,53,Male,Electronics,36315.62,Credit Card,ff8421bcf956985aca25152c321f862611394fb6e76616449fcc5b1b66bad9f2,2025-03-09 17:55:01
User Ryan Kadakia prefers shopping for Electronics with a budget of ₹3147.15.,18,Ryan Kadakia,ovala@taneja-keer.net,0728921473,Punjab,25,Male,Electronics,3147.15,Debit Card,6bfe2cc640fea64f89365ebb19447c1d714ddf6ff20243f8fe2b2a6b89260629,2025-03-04 17:55:01
User Indranil Shukla prefers shopping for Home & Kitchen with a budget of ₹40833.86.,19,Indranil Shukla,saanvi31@hotmail.com,+919022158,Uttar Pradesh,24,Male,Home & Kitchen,40833.86,Cash on Delivery,10151c0ba7a3680471759aef54aa106da70c8ecf367994c0ae8cba72f84c0e01,2025-03-07 17:55:01
User Sahil Mani prefers shopping for Beauty with a budget of ₹8837.79.,20,Sahil Mani,rsoman@gmail.com,0866812516,Madhya Pradesh,51,Male,Beauty,8837.79,Debit Card,fa903c9fac8c1024f051fcb5c894ca7166bb2b1294141eefe88d6b61ee9858fe,2025-03-19 17:55:01
